matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
Si10H16,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 9.24429 ms,9.24429,9.26563
Si34H36,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 13.1376 ms,13.1376,13.3381
Si5H12,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 0.672556 ms,0.672556,9.24492
SiH4,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 8.74618 ms,8.74618,8.71444
SiNa,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 8.77972 ms,8.77972,8.79359
SiO,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 9.56601 ms,9.56601,9.63887
Stanford,sddmm,1 1 4 j1 i1 i0 j0 k1 k0 0 0 1 1 j1 48 32 = 16.783 ms,16.783,22.1627
Stanford_Berkeley,sddmm,1 4 1 j1 i1 i0 j0 k1 k0 0 0 0 1 j1 48 32 = 16.6254 ms,16.6254,31.1524
TF16,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.81303 ms,8.81303,8.83629
TF17,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 9.19771 ms,9.19771,9.49305
TF18,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 11.3558 ms,11.3558,12.9897
TF19,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 19.1681 ms,19.1681,23.7747
TSC_OPF_1047,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 9.57992 ms,9.57992,9.48175
TSC_OPF_300,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 9.10407 ms,9.10407,9.131
TSOPF_FS_b162_c1,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 0 0 0 0 j1 48 8 = 9.02431 ms,9.02431,8.99103
TSOPF_FS_b162_c3,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 9.77349 ms,9.77349,12.8536
TSOPF_FS_b162_c4,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 10.4206 ms,10.4206,15.6146
TSOPF_FS_b300,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 11.0665 ms,11.0665,21.316
TSOPF_FS_b300_c1,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 11.0189 ms,11.0189,21.8382
TSOPF_FS_b39_c19,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 4 = 12.9944 ms,12.9944,25.2525
TSOPF_FS_b39_c30,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 0 1 j1 48 2 = 17.9305 ms,17.9305,50.9963
TSOPF_FS_b39_c7,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 9.27571 ms,9.27571,9.5898
TSOPF_FS_b9_c6,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.73047 ms,8.73047,8.7683
TSOPF_RS_b162_c1,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 1 = 0.181367 ms,0.181367,8.85418
TSOPF_RS_b162_c3,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 9.06476 ms,9.06476,9.09357
TSOPF_RS_b162_c4,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 9.18549 ms,9.18549,9.16517
TSOPF_RS_b2052_c1,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 12.6838 ms,12.6838,12.1094
TSOPF_RS_b300_c1,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 0 0 0 0 j1 48 8 = 9.49195 ms,9.49195,9.49228
TSOPF_RS_b300_c2,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 0 0 0 0 j1 48 8 = 10.1721 ms,10.1721,10.3575
TSOPF_RS_b300_c3,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 11.7305 ms,11.7305,11.2366
TSOPF_RS_b39_c19,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 9.23726 ms,9.23726,9.14242
TSOPF_RS_b39_c30,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 9.62713 ms,9.62713,9.67433
TSOPF_RS_b39_c7,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.81882 ms,8.81882,8.89261
TSOPF_RS_b678_c1,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 11.2273 ms,11.2273,10.8984
Trec12,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 1 0 0 1 j1 48 16 = 8.70406 ms,8.70406,8.5675
Trec13,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 9.02734 ms,9.02734,8.73493
Trec14,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 1 0 0 1 j1 48 16 = 10.6251 ms,10.6251,10.354
Trefethen_20000,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 0.600919 ms,0.600919,9.17548
Trefethen_20000b,sddmm,1 1 32 i1 j1 k1 j0 i0 k0 0 1 0 1 i1 48 16 = 8.80948 ms,8.80948,0.461412
Wordnet3,sddmm,2 1 1 i1 j1 j0 i0 k1 k0 0 1 0 1 i1 48 32 = 9.14799 ms,9.14799,9.29419
Zd_Jac2,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 9.85488 ms,9.85488,9.6274
Zd_Jac2_db,sddmm,1 4 32 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 9.24307 ms,9.24307,9.10774
Zd_Jac3,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 10.0018 ms,10.0018,9.7824
Zd_Jac3_db,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 0.687777 ms,0.687777,8.85873
